organisation,fqdn,is_expired,not_valid_before,not_valid_after,san_dns_names,subject_dn,issuer_dn,common_names,ip,prefix,asn,asn_description,last_update_asn,last_update_asn_desc,country,registrar
Stichting Pensioenfonds Xerox,portal.xeroxpensioenfondsen.nl,Yes,2022-03-02T09:50:02,2022-12-04T09:50:02,portal.xeroxpensioenfondsen.nl,"CN=portal.xeroxpensioenfondsen.nl,2.5.4.5=00000003120399100000,O=Stichting Pensioenfonds Xerox,L=Venlo,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",portal.xeroxpensioenfondsen.nl,185.101.42.51,185.101.40.0/22,203762,"INFOSUPPORT4, NL",2015-05-20,2015-11-04,NL,ripencc
Stichting Positief Welzijn,corona-check.stichtingpositiefwelzijn.nl,Yes,2021-12-06T16:38:42,2022-12-05T00:00:00,corona-check.stichtingpositiefwelzijn.nl,"CN=corona-check.stichtingpositiefwelzijn.nl,O=Stichting Positief Welzijn,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000003776419570000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",corona-check.stichtingpositiefwelzijn.nl,51.136.105.194,51.136.0.0/15,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",1993-09-01,1997-03-31,GB,ripencc
Stichting Projectenbureau Publieke Gezondheid en Veiligheid NL,max.zelfbco.nl,Yes,2021-12-17T16:12:54,2022-12-05T00:00:00,max.zelfbco.nl,"CN=max.zelfbco.nl,O=Stichting Projectenbureau Publieke Gezondheid en Veiligheid NL,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000003411845480000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",max.zelfbco.nl,62.204.70.25,62.204.64.0/20,41887,"PROLOCATION Prolocation, NL",2000-06-22,2006-11-09,NL,ripencc
Stichting Regionaal Opleidingencentrum van Amsterdam-Flevoland,connect-with.rocva.nl,Yes,2022-01-17T08:57:05,2022-12-05T00:00:00,connect-with.rocva.nl,"CN=connect-with.rocva.nl,O=Stichting Regionaal Opleidingencentrum van Amsterdam-Flevoland,L=Amsterdam,ST=Noord-Holland,C=NL,2.5.4.5=00000003412164210000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",connect-with.rocva.nl,83.96.205.231,83.96.204.0/22,35470,"XL-AS, NL",2003-12-18,2006-11-29,NL,ripencc
Stichting Regionaal Opleidingencentrum van Amsterdam-Flevoland,id.rocva.nl,Yes,2022-01-17T08:58:50,2022-12-05T00:00:00,id.rocva.nl,"CN=id.rocva.nl,O=Stichting Regionaal Opleidingencentrum van Amsterdam-Flevoland,L=Amsterdam,ST=Noord-Holland,C=NL,2.5.4.5=00000003412164210000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",id.rocva.nl,89.146.53.186,89.146.0.0/18,28685,"ASN-ROUTIT, NL",2006-02-02,2003-01-29,NL,ripencc
Stichting Regionaal Opleidingencentrum van Amsterdam-Flevoland,ondertekenen.rocva.nl,Yes,2022-01-17T08:58:00,2022-12-05T00:00:00,ondertekenen.rocva.nl,"CN=ondertekenen.rocva.nl,O=Stichting Regionaal Opleidingencentrum van Amsterdam-Flevoland,L=Amsterdam,ST=Noord-Holland,C=NL,2.5.4.5=00000003412164210000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",ondertekenen.rocva.nl,83.96.205.231,83.96.204.0/22,35470,"XL-AS, NL",2003-12-18,2006-11-29,NL,ripencc
The People Group - Software & Trainingen B.V.,webservices.c-sam.nl,Yes,2022-09-27T11:50:02,2022-12-04T11:50:02,webservices.c-sam.nl,"CN=webservices.c-sam.nl,2.5.4.5=00000003160884000000,O=The People Group - Software & Trainingen B.V.,L=Nieuwkuijk,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",webservices.c-sam.nl,195.201.144.199,195.201.0.0/16,24940,"HETZNER-AS, DE",1997-09-22,2002-06-03,DE,ripencc
Visma Connect B.V.,exp.authorizationregistry.vismaconnect.nl,Yes,2022-02-02T13:16:02,2022-12-05T00:00:00,exp.authorizationregistry.vismaconnect.nl,"CN=exp.authorizationregistry.vismaconnect.nl,O=Visma Connect B.V.,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=EU.EORI.NL816994754","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",exp.authorizationregistry.vismaconnect.nl,52.31.193.141,52.30.0.0/15,16509,"AMAZON-02, US",1991-12-19,2000-05-04,US,arin
agentschap College ter Beoordeling van Geneesmiddelen,www.cbgcollegedag.nl,Yes,2021-10-04T18:29:38,2022-10-04T18:39:00,"cbgcollegedag.nl,www.cbgcollegedag.nl","CN=cbgcollegedag.nl,O=agentschap College ter Beoordeling van Geneesmiddelen,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000003506581310000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",cbgcollegedag.nl,185.23.24.156,185.23.24.0/24,60950,"CLOUDNL-AS, NL",2013-04-05,2013-04-04,NL,ripencc
agentschap College ter Beoordeling van Geneesmiddelen,mebscienceday.nl,Yes,2021-12-13T13:46:35,2022-12-05T00:00:00,"mebscienceday.nl,www.mebscienceday.nl","CN=mebscienceday.nl,O=agentschap College ter Beoordeling van Geneesmiddelen,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000003506581310000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",mebscienceday.nl,185.23.24.156,185.23.24.0/24,60950,"CLOUDNL-AS, NL",2013-04-05,2013-04-04,NL,ripencc
