organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
,preprod-mijnplan.gemeenteberkelland.nl,194.53.73.126,preprod-mijnplan.gemeenteberkelland.nl,2022-11-29T17:33:47,2023-11-29T17:33:47,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=preprod-mijnplan.gemeenteberkelland.nl,C=NL,ST=Gelderland,L=Borculo,O=Gemeente Berkelland","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",preprod-mijnplan.gemeenteberkelland.nl
,edienstenburgerzaken.brunssum.nl,194.53.75.210,"edienstenburgerzaken-test.brunssum.nl,edienstenburgerzaken.brunssum.nl",2022-11-29T18:57:20,2023-11-29T18:57:20,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=edienstenburgerzaken.brunssum.nl,C=NL,ST=Limburg,L=Brunssum,O=Gemeente Brunssum","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",edienstenburgerzaken.brunssum.nl
,edienstenburgerzaken-test.brunssum.nl,194.53.75.166,"edienstenburgerzaken-test.brunssum.nl,edienstenburgerzaken.brunssum.nl",2022-11-29T18:57:20,2023-11-29T18:57:20,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=edienstenburgerzaken.brunssum.nl,C=NL,ST=Limburg,L=Brunssum,O=Gemeente Brunssum","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",edienstenburgerzaken.brunssum.nl
,www.geertruidenberg.nl,87.253.157.248,"www.geertruidenberg.nl,geertruidenberg.nl",2022-11-29T00:00:00,2023-11-29T23:59:59,20857,"TRANSIP-AS Amsterdam, the Netherlands, NL",NL,ripencc,2005-10-06,2001-06-20,CN=www.geertruidenberg.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",www.geertruidenberg.nl
,jio.nl,159.46.193.44,"jio.nl,www.jio.nl",2022-11-30T08:49:05,2023-11-30T08:43:00,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,"CN=jio.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",jio.nl
,inloggen-test.arag-intermediair.nl,75.2.77.150,inloggen-test.arag-intermediair.nl,2022-11-30T00:00:00,2023-11-30T23:59:59,16509,"AMAZON-02, US",US,arin,2018-01-10,2000-05-04,CN=inloggen-test.arag-intermediair.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",inloggen-test.arag-intermediair.nl
,auth.integration.join-data.net,75.2.77.150,auth.integration.join-data.net,2022-12-01T00:00:00,2023-12-01T23:59:59,16509,"AMAZON-02, US",US,arin,2018-01-10,2000-05-04,CN=auth.integration.join-data.net,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",auth.integration.join-data.net
,auth.production.join-data.net,13.248.206.174,auth.production.join-data.net,2022-12-01T00:00:00,2023-12-01T23:59:59,16509,"AMAZON-02, US",US,arin,2018-07-11,2000-05-04,CN=auth.production.join-data.net,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",auth.production.join-data.net
,host.kpnretail.nl,195.121.120.243,"host.kpnretail.nl,api-agendaplanner.kpnretail.nl,api-kbs.kpnretail.nl",2022-12-01T00:00:00,2023-12-01T23:59:59,8737,"PT, NL",NL,ripencc,1999-01-11,1998-03-31,CN=host.kpnretail.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",host.kpnretail.nl
,www.phenc.nl,20.56.245.103,"www.phenc.nl,acc.phenc.nl,dev.phenc.nl,phenc.nl,tst.phenc.nl",2022-11-02T00:00:00,2023-12-03T23:59:59,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,CN=www.phenc.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",www.phenc.nl
,werkplek.rid-utrecht.nl,160.20.148.18,werkplek.rid-utrecht.nl,2022-11-08T00:00:00,2023-12-09T23:59:59,33915,"TNF-AS, NL",NL,ripencc,2018-08-31,2004-09-06,CN=werkplek.rid-utrecht.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",werkplek.rid-utrecht.nl
